Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %,Rank
Abyss,A,48.81%,25.90%,51.19%,33.88%,,,Allrank
Ascent,B,53.99%,28.42%,46.01%,27.54%,,,Allrank
Bind,B,57.17%,31.11%,42.83%,27.36%,,,Allrank
Breeze,B,54.56%,28.97%,45.44%,27.63%,,,Allrank
Fracture,A,54.62%,27.88%,45.38%,28.41%,,,Allrank
Haven,A,41.53%,26.40%,18.20%,29.62%,40.27%,29.65%,Allrank
Icebox,A,54.77%,26.70%,45.23%,29.89%,,,Allrank
Lotus,A,42.27%,25.31%,22.99%,29.88%,34.74%,31.38%,Allrank
Pearl,B,50.61%,30.26%,49.39%,24.65%,,,Allrank
Split,B,46.66%,28.23%,53.34%,25.70%,,,Allrank
Sunset,B,44.46%,30.58%,55.54%,28.49%,,,Allrank
Abyss,A,47.17%,26.87%,52.83%,33.95%,,,Ascendant
Ascent,B,55.37%,27.94%,44.63%,26.92%,,,Ascendant
Bind,B,57.99%,30.38%,42.01%,25.75%,,,Ascendant
Breeze,B,56.17%,28.01%,43.83%,27.88%,,,Ascendant
Fracture,A,54.46%,27.14%,45.54%,28.72%,,,Ascendant
Haven,A,41.71%,25.60%,17.33%,29.41%,40.96%,28.08%,Ascendant
Icebox,A,55.05%,25.88%,44.95%,30.37%,,,Ascendant
Lotus,A,42.27%,25.13%,19.23%,30.66%,38.50%,31.48%,Ascendant
Pearl,B,49.86%,30.43%,50.14%,24.84%,,,Ascendant
Split,B,46.70%,27.42%,53.30%,24.63%,,,Ascendant
Sunset,A,47.83%,28.00%,52.17%,28.68%,,,Ascendant
Abyss,A,48.95%,25.51%,51.05%,34.14%,,,Bronze
Ascent,B,52.76%,28.83%,47.24%,28.00%,,,Bronze
Bind,B,56.70%,31.22%,43.30%,28.05%,,,Bronze
Breeze,B,54.24%,29.12%,45.76%,27.61%,,,Bronze
Fracture,A,54.70%,27.96%,45.30%,28.34%,,,Bronze
Haven,A,41.45%,26.79%,18.48%,30.13%,40.07%,30.38%,Bronze
Icebox,A,54.41%,26.87%,45.59%,30.00%,,,Bronze
Lotus,A,42.29%,25.34%,23.86%,29.81%,33.85%,31.53%,Bronze
Pearl,B,50.73%,30.25%,49.27%,24.66%,,,Bronze
Split,B,46.64%,28.46%,53.36%,25.94%,,,Bronze
Sunset,B,43.45%,31.85%,56.55%,28.44%,,,Bronze
Abyss,A,48.07%,26.72%,51.93%,33.90%,,,Diamond
Ascent,B,55.73%,27.92%,44.27%,27.05%,,,Diamond
Bind,B,57.95%,30.83%,42.05%,26.28%,,,Diamond
Breeze,B,56.11%,28.35%,43.89%,27.64%,,,Diamond
Fracture,A,54.47%,27.69%,45.53%,28.69%,,,Diamond
Haven,A,41.71%,25.69%,17.66%,29.14%,40.62%,28.41%,Diamond
Icebox,A,55.19%,26.35%,44.81%,29.93%,,,Diamond
Lotus,A,42.19%,25.30%,20.74%,30.19%,37.07%,31.42%,Diamond
Pearl,B,50.08%,30.58%,49.92%,24.79%,,,Diamond
Split,B,46.64%,27.61%,53.36%,24.69%,,,Diamond
Sunset,B,46.87%,28.75%,53.13%,28.71%,,,Diamond
Abyss,A,48.84%,26.28%,51.16%,33.80%,,,Gold
Ascent,B,55.07%,28.18%,44.93%,27.39%,,,Gold
Bind,B,57.58%,31.52%,42.42%,27.19%,,,Gold
Breeze,B,55.36%,28.87%,44.64%,27.64%,,,Gold
Fracture,A,54.56%,27.81%,45.44%,28.37%,,,Gold
Haven,A,41.60%,26.26%,18.04%,29.38%,40.36%,29.55%,Gold
Icebox,A,55.09%,26.95%,44.91%,29.80%,,,Gold
Lotus,A,42.37%,25.51%,23.24%,29.84%,34.39%,31.36%,Gold
Pearl,B,50.29%,30.35%,49.71%,24.77%,,,Gold
Split,B,46.68%,28.19%,53.32%,25.38%,,,Gold
Sunset,B,44.95%,30.08%,55.05%,28.73%,,,Gold
Abyss,A,45.88%,26.93%,54.12%,33.76%,,,Immortal
Ascent,B,54.56%,28.13%,45.44%,27.02%,,,Immortal
Bind,B,57.98%,29.53%,42.02%,25.00%,,,Immortal
Breeze,A,56.24%,27.71%,43.76%,28.33%,,,Immortal
Fracture,A,54.50%,27.21%,45.50%,29.02%,,,Immortal
Haven,A,41.64%,25.59%,17.07%,29.51%,41.29%,27.69%,Immortal
Icebox,A,54.69%,24.92%,45.31%,30.14%,,,Immortal
Lotus,A,42.36%,24.32%,17.59%,30.43%,40.05%,31.33%,Immortal
Pearl,B,50.16%,29.94%,49.84%,25.70%,,,Immortal
Split,B,47.03%,26.10%,52.97%,24.08%,,,Immortal
Sunset,A,48.34%,26.59%,51.66%,28.41%,,,Immortal
Abyss,A,49.26%,24.92%,50.74%,34.06%,,,Iron
Ascent,B,51.56%,29.27%,48.44%,28.02%,,,Iron
Bind,B,56.14%,30.68%,43.86%,28.37%,,,Iron
Breeze,B,53.09%,29.41%,46.91%,27.60%,,,Iron
Fracture,A,54.79%,28.08%,45.21%,28.52%,,,Iron
Haven,A,41.45%,26.97%,18.66%,30.38%,39.89%,30.51%,Iron
Icebox,A,53.87%,26.62%,46.13%,30.01%,,,Iron
Lotus,A,41.95%,25.29%,23.81%,30.02%,34.24%,31.56%,Iron
Pearl,B,51.12%,30.16%,48.88%,24.42%,,,Iron
Split,B,46.61%,28.52%,53.39%,26.29%,,,Iron
Sunset,B,42.96%,32.57%,57.04%,28.06%,,,Iron
Abyss,A,49.44%,25.15%,50.56%,33.48%,,,Placements
Ascent,B,52.93%,28.36%,47.07%,27.39%,,,Placements
Bind,B,56.59%,30.59%,43.41%,27.40%,,,Placements
Breeze,B,53.97%,29.03%,46.03%,27.56%,,,Placements
Fracture,A,54.63%,27.91%,45.37%,28.39%,,,Placements
Haven,A,41.36%,26.51%,18.54%,29.38%,40.10%,29.60%,Placements
Icebox,A,54.64%,26.40%,45.36%,29.68%,,,Placements
Lotus,A,42.20%,24.87%,23.44%,29.63%,34.36%,31.00%,Placements
Pearl,B,50.82%,30.15%,49.18%,24.59%,,,Placements
Split,B,46.63%,28.23%,53.37%,25.90%,,,Placements
Sunset,B,42.87%,31.27%,57.13%,27.92%,,,Placements
Abyss,A,48.67%,26.59%,51.33%,33.72%,,,Platinum
Ascent,B,55.71%,28.07%,44.29%,27.12%,,,Platinum
Bind,B,57.83%,31.26%,42.17%,26.76%,,,Platinum
Breeze,B,55.78%,28.69%,44.22%,27.79%,,,Platinum
Fracture,A,54.45%,27.70%,45.55%,28.49%,,,Platinum
Haven,A,41.67%,25.93%,17.87%,29.13%,40.46%,28.92%,Platinum
Icebox,A,55.25%,26.71%,44.75%,29.79%,,,Platinum
Lotus,A,42.28%,25.46%,22.19%,29.94%,35.53%,31.31%,Platinum
Pearl,B,50.21%,30.21%,49.79%,24.65%,,,Platinum
Split,B,46.73%,27.81%,53.27%,25.09%,,,Platinum
Sunset,B,45.79%,29.23%,54.21%,28.75%,,,Platinum
Abyss,A,44.42%,27.16%,55.58%,33.21%,,,Radiant
Ascent,A,54.35%,26.63%,45.65%,27.25%,,,Radiant
Bind,B,56.72%,27.14%,43.28%,24.09%,,,Radiant
Breeze,B,57.74%,28.41%,42.26%,26.92%,,,Radiant
Fracture,A,52.43%,26.16%,47.57%,28.68%,,,Radiant
Haven,A,42.44%,25.24%,15.91%,28.68%,41.65%,27.36%,Radiant
Icebox,A,54.97%,23.92%,45.03%,29.01%,,,Radiant
Lotus,A,42.26%,22.69%,16.70%,29.67%,41.04%,31.68%,Radiant
Pearl,B,48.76%,28.15%,51.24%,26.91%,,,Radiant
Split,B,48.00%,28.44%,52.00%,21.57%,,,Radiant
Sunset,A,47.96%,23.27%,52.04%,28.58%,,,Radiant
Abyss,A,48.83%,25.98%,51.17%,34.05%,,,Silver
Ascent,B,53.99%,28.50%,46.01%,27.75%,,,Silver
Bind,B,57.22%,31.52%,42.78%,27.64%,,,Silver
Breeze,B,54.96%,28.96%,45.04%,27.61%,,,Silver
Fracture,A,54.62%,27.93%,45.38%,28.29%,,,Silver
Haven,A,41.53%,26.59%,18.24%,29.74%,40.23%,30.12%,Silver
Icebox,A,54.78%,27.00%,45.22%,29.91%,,,Silver
Lotus,A,42.40%,25.46%,23.77%,29.79%,33.84%,31.49%,Silver
Pearl,B,50.49%,30.38%,49.51%,24.70%,,,Silver
Split,B,46.68%,28.32%,53.32%,25.67%,,,Silver
Sunset,B,44.18%,30.99%,55.82%,28.72%,,,Silver
