match_id,map_name,team,agent,k,d,a,adr,winner
ascent_000001,Ascent,Team A,Sova,24,15,2,203,Team B
ascent_000001,Ascent,Team A,Iso,15,16,5,134,Team B
ascent_000001,Ascent,Team A,Yoru,14,18,7,126,Team B
ascent_000001,Ascent,Team A,Cypher,11,15,8,98,Team B
ascent_000001,Ascent,Team B,Astra,10,15,6,77,Team B
ascent_000001,Ascent,Team B,Jett,21,12,3,176,Team B
ascent_000001,Ascent,Team B,Sova,20,16,6,159,Team B
ascent_000001,Ascent,Team B,Killjoy,14,15,10,139,Team B
ascent_000001,Ascent,Team B,Omen,12,15,11,94,Team B
ascent_000001,Ascent,Team B,KAY/O,12,16,9,86,Team B
bind_000001,Bind,Team A,Viper,18,8,8,199,Team A
bind_000001,Bind,Team A,Clove,14,10,10,152,Team A
bind_000001,Bind,Team A,Skye,14,5,8,155,Team A
bind_000001,Bind,Team A,Raze,13,11,4,142,Team A
bind_000001,Bind,Team B,Gekko,12,7,5,129,Team A
bind_000001,Bind,Team B,Raze,9,14,8,161,Team A
bind_000001,Bind,Team B,Gekko,10,14,4,118,Team A
bind_000001,Bind,Team B,Viper,7,14,4,101,Team A
bind_000001,Bind,Team B,Fade,7,14,3,102,Team A
bind_000001,Bind,Team B,Omen,7,15,5,68,Team A
haven_000001,Haven,Team A,Iso,22,12,3,206,Team A
haven_000001,Haven,Team A,Yoru,21,13,5,179,Team A
haven_000001,Haven,Team A,Cypher,17,15,7,154,Team A
haven_000001,Haven,Team A,Omen,14,10,9,119,Team A
haven_000001,Haven,Team B,Sova,11,10,7,114,Team A
haven_000001,Haven,Team B,Sova,13,15,4,144,Team A
haven_000001,Haven,Team B,Breach,13,17,6,119,Team A
haven_000001,Haven,Team B,Cypher,11,18,5,107,Team A
haven_000001,Haven,Team B,Omen,12,18,6,109,Team A
haven_000001,Haven,Team B,Jett,11,17,1,91,Team A
lotus_000001,Lotus,Team A,Viper,21,14,13,182,Team A
lotus_000001,Lotus,Team A,Killjoy,22,15,3,141,Team A
lotus_000001,Lotus,Team A,Raze,14,15,7,144,Team A
lotus_000001,Lotus,Team A,Fade,12,15,12,103,Team A
lotus_000001,Lotus,Team B,Omen,11,14,16,89,Team A
lotus_000001,Lotus,Team B,Cypher,17,17,7,146,Team A
lotus_000001,Lotus,Team B,Breach,17,15,11,136,Team A
lotus_000001,Lotus,Team B,Omen,16,16,6,123,Team A
lotus_000001,Lotus,Team B,Raze,12,17,5,120,Team A
lotus_000001,Lotus,Team B,Fade,11,16,12,124,Team A
